Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Date,Ship Mode,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
IN-100000,CU-0033,Customer_CU-0033,Corporate,2021-08-17,2021-08-19,Standard Class,Uttar Pradesh,North,Technology,Accessories,1040.07,3,0.0,436.05
IN-100001,CU-0007,Customer_CU-0007,Consumer,2021-03-03,2021-03-05,Standard Class,Jharkhand,East,Furniture,Chairs,295.71,2,0.0,75.42
IN-100002,CU-0353,Customer_CU-0353,Consumer,2021-11-23,2021-11-29,Standard Class,Gujarat,West,Technology,Machines,1191.44,1,0.0,263.25
IN-100003,CU-0371,Customer_CU-0371,Consumer,2022-06-26,2022-07-03,Second Class,Jharkhand,East,Office Supplies,Paper,354.51,1,0.0,61.44
IN-100004,CU-0374,Customer_CU-0374,Consumer,2022-01-29,2022-02-04,Standard Class,Telangana,South,Furniture,Tables,273.88,5,0.5,-15.5
IN-100005,CU-0656,Customer_CU-0656,Consumer,2021-11-30,2021-12-04,Standard Class,Tamil Nadu,South,Furniture,Bookcases,273.88,3,0.2,81.8
IN-100006,CU-0736,Customer_CU-0736,Home Office,2022-03-26,2022-04-01,Standard Class,Karnataka,South,Furniture,Tables,1168.38,1,0.3,209.9
IN-100007,CU-0439,Customer_CU-0439,Corporate,2022-10-07,2022-10-10,Second Class,Odisha,East,Technology,Copiers,1327.02,3,0.0,541.57
IN-100008,CU-0611,Customer_CU-0611,Consumer,2023-03-29,2023-04-02,Second Class,Tamil Nadu,South,Furniture,Furnishings,226.88,1,0.3,9.45
IN-100009,CU-0550,Customer_CU-0550,Corporate,2021-05-11,2021-05-15,Standard Class,Assam,East,Office Supplies,Paper,146.69,6,0.0,41.66
IN-100010,CU-0513,Customer_CU-0513,Home Office,2022-07-01,2022-07-07,Standard Class,Telangana,South,Technology,Phones,438.31,6,0.0,137.58
IN-100011,CU-0544,Customer_CU-0544,Corporate,2022-01-01,2022-01-06,Second Class,Assam,East,Furniture,Bookcases,227.56,4,0.2,69.21
IN-100012,CU-0581,Customer_CU-0581,Consumer,2021-01-02,2021-01-07,Standard Class,Delhi,North,Technology,Phones,826.97,4,0.3,30.09
IN-100013,CU-0622,Customer_CU-0622,Corporate,2021-06-11,2021-06-13,Standard Class,Jharkhand,East,Technology,Phones,118.87,2,0.2,37.03
IN-100014,CU-0254,Customer_CU-0254,Home Office,2023-05-17,2023-05-26,Standard Class,Telangana,South,Office Supplies,Binders,19.06,2,0.0,4.74
IN-100015,CU-0339,Customer_CU-0339,Consumer,2022-04-06,2022-04-08,First Class,Chhattisgarh,Central,Furniture,Tables,210.64,3,0.0,90.3
IN-100016,CU-0485,Customer_CU-0485,Corporate,2021-05-26,2021-05-31,Standard Class,West Bengal,East,Technology,Copiers,267.32,5,0.1,48.92
IN-100017,CU-0101,Customer_CU-0101,Corporate,2023-04-14,2023-04-17,Same Day,Madhya Pradesh,Central,Furniture,Furnishings,424.71,3,0.1,110.38
IN-100018,CU-0078,Customer_CU-0078,Consumer,2021-05-05,2021-05-09,Standard Class,Uttar Pradesh,North,Technology,Phones,293.76,1,0.0,84.93
